Channel,Count,Energy (keV)
779,206,-874.6921862667722
780,235,-874.3906866614052
781,195,-874.0891870560381
782,206,-873.7876874506711
783,190,-873.4861878453041
784,229,-873.184688239937
785,219,-872.8831886345702
786,212,-872.5816890292031
787,222,-872.2801894238361
788,189,-871.9786898184691
789,209,-871.677190213102
790,236,-871.375690607735
791,211,-871.074191002368
792,221,-870.772691397001
793,215,-870.471191791634
794,200,-870.169692186267
795,228,-869.8681925809
796,225,-869.566692975533
797,212,-869.265193370166
798,203,-868.963693764799
799,227,-868.6621941594319
800,213,-868.3606945540649
801,220,-868.059194948698
802,213,-867.757695343331
803,216,-867.456195737964
804,222,-867.1546961325969
805,209,-866.8531965272299
806,222,-866.5516969218629
807,226,-866.2501973164959
808,214,-865.948697711129
809,245,-865.6471981057618
810,211,-865.3456985003949
811,230,-865.0441988950279
812,219,-864.7426992896609
813,219,-864.4411996842939
814,227,-864.1397000789268
815,205,-863.8382004735598
816,226,-863.5367008681928
817,252,-863.2352012628259
818,206,-862.9337016574589
819,233,-862.6322020520918
820,238,-862.3307024467248
821,254,-862.0292028413578
822,223,-861.7277032359907
823,231,-861.4262036306238
824,236,-861.1247040252567
825,258,-860.8232044198897
826,254,-860.5217048145228
827,222,-860.2202052091557
828,274,-859.9187056037887
829,235,-859.6172059984217
830,238,-859.3157063930547
831,280,-859.0142067876877
832,260,-858.7127071823206
833,221,-858.4112075769536
834,221,-858.1097079715867
835,236,-857.8082083662197
836,231,-857.5067087608527
837,226,-857.2052091554856
838,262,-856.9037095501186
839,240,-856.6022099447516
840,233,-856.3007103393846
841,240,-855.9992107340177
842,222,-855.6977111286506
843,258,-855.3962115232836
844,265,-855.0947119179166
845,248,-854.7932123125496
846,272,-854.4917127071826
847,258,-854.1902131018155
848,279,-853.8887134964485
849,257,-853.5872138910815
850,263,-853.2857142857144
851,288,-852.9842146803476
852,262,-852.6827150749805
853,240,-852.3812154696135
854,254,-852.0797158642465
855,267,-851.7782162588794
856,241,-851.4767166535125
857,304,-851.1752170481454
858,279,-850.8737174427785
859,244,-850.5722178374115
860,280,-850.2707182320444
861,257,-849.9692186266775
862,277,-849.6677190213104
863,247,-849.3662194159434
864,271,-849.0647198105764
865,279,-848.7632202052093
866,257,-848.4617205998425
867,281,-848.1602209944754
868,283,-847.8587213891084
869,269,-847.5572217837414
870,298,-847.2557221783743
871,296,-846.9542225730074
872,294,-846.6527229676403
873,286,-846.3512233622733
874,312,-846.0497237569064
875,319,-845.7482241515393
876,314,-845.4467245461723
877,301,-845.1452249408053
878,311,-844.8437253354383
879,300,-844.5422257300713
880,291,-844.2407261247042
881,285,-843.9392265193372
882,328,-843.6377269139703
883,307,-843.3362273086032
884,316,-843.0347277032363
885,337,-842.7332280978692
886,326,-842.4317284925022
887,304,-842.1302288871352
888,332,-841.8287292817681
889,320,-841.5272296764012
890,305,-841.2257300710341
891,295,-840.9242304656672
892,355,-840.6227308603002
893,285,-840.3212312549331
894,347,-840.0197316495662
895,323,-839.7182320441991
896,347,-839.4167324388321
897,334,-839.1152328334651
898,319,-838.813733228098
899,328,-838.5122336227312
900,330,-838.2107340173641
901,350,-837.9092344119971
902,321,-837.6077348066301
903,340,-837.306235201263
904,311,-837.0047355958961
905,357,-836.703235990529
906,351,-836.401736385162
907,351,-836.1002367797951
908,348,-835.798737174428
909,367,-835.4972375690611
910,357,-835.195737963694
911,339,-834.894238358327
912,354,-834.59273875296
913,337,-834.2912391475929
914,347,-833.989739542226
915,375,-833.688239936859
916,380,-833.386740331492
917,315,-833.085240726125
918,349,-832.7837411207579
919,343,-832.4822415153909
920,381,-832.1807419100239
921,385,-831.8792423046568
922,359,-831.57774269929
923,359,-831.2762430939229
924,349,-830.9747434885559
925,360,-830.6732438831889
926,353,-830.3717442778218
927,367,-830.0702446724549
928,376,-829.7687450670878
929,372,-829.4672454617208
930,352,-829.1657458563539
931,390,-828.8642462509868
932,379,-828.5627466456199
933,395,-828.2612470402528
934,341,-827.9597474348858
935,368,-827.6582478295188
936,366,-827.3567482241517
937,374,-827.0552486187848
938,361,-826.7537490134177
939,344,-826.4522494080508
940,357,-826.1507498026838
941,374,-825.8492501973167
942,351,-825.5477505919498
943,374,-825.2462509865827
944,362,-824.9447513812157
945,384,-824.6432517758487
946,355,-824.3417521704816
947,370,-824.0402525651147
948,355,-823.7387529597477
